id,name,country,lon,lat
jet_abroad_614f55c4ec48cb4838211cc7,Ереван,Армения,44.504330,40.188987
polygon-184332,Гродно,Беларусь,20.316929,54.951180
polygon-185718,Минск,Беларусь,27.590981,53.911638
polygon-284695,Тбилиси,Грузия,44.778647,41.713861
polygon-285679,Алматы,Казахстан,76.900775,43.231196
polygon-285680,Астана,Казахстан,71.423120,51.146726
polygon-276956,Талдыкорган,Казахстан,78.395609,42.491676
polygon-283264,Барранкилья,Колумбия,-74.803929,11.013163
polygon-285702,Лима,Перу,-77.025030,-12.116543
polygon-277140,Александров,Россия,38.143002,56.302600
polygon-128000,Астрахань,Россия,48.057119,46.348699
polygon-276610,Видное,Россия,37.546695,55.449736
polygon-126930,Владикавказ,Россия,41.950918,45.035526
polygon-285735,Вологда,Россия,39.887581,59.206895
polygon-191560,Воронеж,Россия,39.194089,51.675430
polygon-20528,Выборг,Россия,29.762664,59.995725
polygon-283945,Геленджик,Россия,38.051284,44.569390
jet_6112953ec21a79e5bcefeb68,Грозный,Россия,43.607637,43.484935
polygon-256598,Домодедово,Россия,37.767835,55.425023
user_app_work_zones_prod_ekb,Екатеринбург,Россия,60.612492,56.810083
user_app_work_zones_prod_Zelenograd,Зеленоград,Россия,37.176632,55.981431
polygon-00918,Йошкар-Ола,Россия,43.929649,56.288366
polygon-264475,Калининград,Россия,20.536018,54.727023
polygon-264017,Калуга,Россия,36.026279,55.506031
polygon-277961,Калуга область,Россия,36.269447,54.519495
jet_6127991b17543087cc339ab0,Керчь,Россия,37.118867,45.052702
jet_68fb6d3e35535417a399c6a8,Кисловодск,Россия,40.067672,44.863951
polygon-277137,Коломна,Россия,38.762461,55.088278
polygon-285736,Кострома,Россия,38.817682,58.050141
polygon-275961,Красногорск,Россия,37.320107,55.491726
polygon-20590,Краснодар,Россия,38.982342,45.035251
jet_67c6ad4a9125cfddab9148f2,Махачкала,Россия,42.046492,44.221897
polygon-194906,Мытищи,Россия,37.751022,55.789273
polygon-279395,Набережные Челны,Россия,45.177586,54.196673
polygon-184714,Новороссийск,Россия,37.775468,44.705085
polygon-17131,Новосибирск,Россия,82.954261,55.006800
polygon-274991,Ногинск,Россия,39.509740,55.574895
polygon-183582,Одинцово,Россия,37.267133,55.677476
jet_693bd5b0062fc25ed6553147,Омск,Россия,73.421522,54.972269
jet_693bd660062fc25ed655a778,Омск,Россия,73.449764,54.907811
jet_693bd8af062fc25ed658af39,Омск,Россия,73.368528,54.983741
jet_693bd9ca062fc25ed6597b99,Омск,Россия,73.373014,54.988909
jet_693bdbb9062fc25ed65b56ac,Омск,Россия,73.289385,55.002254
jet_693bdc90062fc25ed65b71da,Омск,Россия,73.305980,54.998355
jet_693bdd44062fc25ed65ba473,Омск,Россия,73.274175,54.986080
jet_693bddf1062fc25ed65cce55,Омск,Россия,73.309688,54.979523
jet_69561312173c787527a61784,Омск,Россия,73.289416,54.984504
jet_6982f6716f33dfdd8f88b1b4,Омск,Россия,73.383429,54.955469
polygon-194907,Орехово-Зуево,Россия,38.438572,55.816315
polygon-279698,Петрозаводск,Россия,34.328689,61.772775
polygon-276611,Подольск,Россия,37.454011,55.156153
jet_6433aa73a87d76886ddc52c4,Пятигорск,Россия,40.102330,44.602979
jet_687a08a16c559351ea72b9f2,Пятигорск,Россия,40.282059,44.557148
polygon-249243,Ростов-на-Дону,Россия,39.765460,47.255038
polygon-264485,Рязань,Россия,37.427815,54.921295
polygon-195091,Самара,Россия,45.011712,53.186200
user_app_work_zones_prod_spb,Санкт-Петербург,Россия,30.277977,59.926156
jet_5d848349f811e80001fe4b17,Сочи,Россия,39.736792,43.604207
jet_63db8ab26277d7e27991d61a,Сочи,Россия,39.605354,43.675899
jet_6628d67fbd43823488904733,Сочи,Россия,39.655105,43.664606
polygon-283937,Сочи,Россия,39.747862,43.591777
jet_6068336480020e120c100817,Ставрополь,Россия,40.241069,43.680262
polygon-281998,Ставрополь,Россия,40.240344,43.684424
polygon-193888,Тамбов,Россия,39.566603,52.594294
polygon-191515,Тверь,Россия,35.883889,56.851647
polygon-200813,Тихвин,Россия,37.937763,59.114337
polygon-00498,Туапсе,Россия,39.951253,43.430007
polygon-249359,Тула,Россия,37.623951,54.191254
jet_694e6025cb4131e938d92501,Тюмень,Россия,65.559610,57.170562
jet_695fc75a173c787527911ee9,Тюмень,Россия,65.563612,57.100625
jet_6961f809173c7875270cd108,Тюмень,Россия,65.559471,57.166955
jet_696253e4be7bda7b8977c622,Тюмень,Россия,65.660725,57.177348
jet_6965cf9d725a2b8f288dc1f6,Тюмень,Россия,65.542721,57.177800
jet_697b21ffe255b81b81fc7029,Тюмень,Россия,65.651630,57.176718
polygon-285710,Тюмень,Россия,65.562276,57.145739
polygon-286302,Уфа,Россия,56.024797,54.759370
jet_5e54cdc916776f000117d2da,Феодосия,Россия,37.317871,44.928333
jet_66b486d0336ab24e00e9ea86,Феодосия,Россия,37.339371,45.003649
polygon-276609,Химки,Россия,37.416260,55.596270
polygon-215308,Челябинск,Россия,61.367741,55.167338
polygon-274990,Электросталь,Россия,38.972390,55.804777
polygon-285737,Ярославль,Россия,39.869725,57.627959
user_app_work_zones_prod_belgrade,Белград,Сербия,20.413559,44.817051
